x,y,ln(x),ln(x)y,ln(x)^2
1972.7896,325.20,7.5872,2467.3587,57.5657
1972.8743,326.50,7.5872,2477.2361,57.5663
1972.9563,327.55,7.5873,2485.2163,57.5669
1973.0411,328.55,7.5873,2492.8177,57.5676
1973.1260,329.57,7.5874,2500.5710,57.5682
1973.2027,330.30,7.5874,2506.1226,57.5688
1973.2877,331.50,7.5875,2515.2418,57.5695
1973.3699,332.48,7.5875,2522.6913,57.5701
1973.4548,332.07,7.5875,2519.5947,57.5708
1973.5370,330.87,7.5876,2510.5035,57.5714
1973.6219,329.31,7.5876,2498.6810,57.5721
1973.7068,327.52,7.5877,2485.1132,57.5727
1973.7890,327.19,7.5877,2482.6229,57.5733
1973.8740,328.17,7.5878,2490.0730,57.5740
1973.9562,328.65,7.5878,2493.7288,57.5746
1974.0411,329.36,7.5878,2499.1303,57.5753
1974.1260,330.71,7.5879,2509.3881,57.5759
1974.2027,331.49,7.5879,2515.3196,57.5765
1974.2877,332.65,7.5880,2524.1359,57.5772
1974.3750,333.19,7.5880,2528.2481,57.5779
1974.4583,332.20,7.5880,2520.7500,57.5785
1974.5417,331.07,7.5881,2512.1895,57.5791
1974.6250,329.15,7.5881,2497.6342,57.5798
1974.7083,327.33,7.5882,2483.8376,57.5804
1974.7917,327.28,7.5882,2483.4721,57.5811
1974.8750,328.31,7.5883,2491.3018,57.5817
1974.9583,329.58,7.5883,2500.9528,57.5823
1975.0417,330.73,7.5883,2509.6933,57.5830
1975.1250,331.46,7.5884,2515.2467,57.5836
1975.2083,331.94,7.5884,2518.9032,57.5843
1975.2917,333.11,7.5885,2527.7957,57.5849
1975.3750,333.95,7.5885,2534.1841,57.5855
1975.4583,333.42,7.5886,2530.1762,57.5862
1975.5417,331.97,7.5886,2519.1869,57.5868
1975.6250,329.95,7.5886,2503.8718,57.5875
1975.7083,328.49,7.5887,2492.8062,57.5881
1975.7917,328.36,7.5887,2491.8336,57.5887
1975.8750,329.38,7.5888,2499.5879,57.5894
1975.9583,330.77,7.5888,2510.1503,57.5900
1976.0417,331.56,7.5889,2516.1594,57.5907
1976.1250,332.74,7.5889,2525.1283,57.5913
1976.2083,333.36,7.5889,2529.8475,57.5919
1976.2917,334.74,7.5890,2540.3343,57.5926
1976.3750,334.72,7.5890,2540.1967,57.5932
1976.4583,333.97,7.5891,2534.5190,57.5939
1976.5417,333.08,7.5891,2527.7788,57.5945
1976.6250,330.68,7.5891,2509.5788,57.5951
1976.7083,328.96,7.5892,2496.5394,57.5958
1976.7917,328.72,7.5892,2494.7318,57.5964
1976.8750,330.16,7.5893,2505.6742,57.5971
1976.9583,331.62,7.5893,2516.7686,57.5977
1977.0417,332.68,7.5894,2524.8273,57.5983
1977.1250,333.17,7.5894,2528.5601,57.5990
1977.2083,334.96,7.5894,2542.1592,57.5996
1977.2917,336.14,7.5895,2551.1289,57.6003
1977.3750,336.93,7.5895,2557.1388,57.6009
1977.4583,336.17,7.5896,2551.3849,57.6015
1977.5417,334.89,7.5896,2541.6844,57.6022
1977.6250,332.56,7.5897,2524.0146,57.6028
1977.7083,331.29,7.5897,2514.3897,57.6035
1977.7917,331.28,7.5897,2514.3278,57.6041
1977.8750,332.46,7.5898,2523.2977,57.6047
1977.9583,333.60,7.5898,2531.9641,57.6054
1978.0417,334.94,7.5899,2542.1486,57.6060
1978.1250,335.26,7.5899,2544.5915,57.6067
1978.2083,336.66,7.5899,2555.2315,57.6073
1978.2917,337.69,7.5900,2563.0634,57.6079
1978.3750,338.02,7.5900,2565.5823,57.6086
1978.4583,338.01,7.5901,2565.5206,57.6092
1978.5417,336.50,7.5901,2554.0738,57.6099
1978.6250,334.42,7.5902,2538.3005,57.6105
1978.7083,332.36,7.5902,2522.6787,57.6111
1978.7917,332.45,7.5902,2523.3758,57.6118
1978.8750,333.76,7.5903,2533.3331,57.6124
1978.9583,334.91,7.5903,2542.0760,57.6130
1979.0417,336.14,7.5904,2551.4263,57.6137
1979.1250,336.69,7.5904,2555.6152,57.6143
1979.2083,338.27,7.5905,2567.6223,57.6150
1979.2917,338.82,7.5905,2571.8113,57.6156
1979.3750,339.24,7.5905,2575.0136,57.6162
1979.4583,339.26,7.5906,2575.1797,57.6169
1979.5417,337.54,7.5906,2562.1381,57.6175
1979.6250,335.72,7.5907,2548.3373,57.6182
1979.7083,333.97,7.5907,2535.0677,57.6188
1979.7917,334.24,7.5907,2537.1312,57.6194
1979.8750,335.32,7.5908,2545.3434,57.6201
1979.9583,336.81,7.5908,2556.6678,57.6207
1980.0417,337.90,7.5909,2564.9560,57.6214
1980.1250,338.34,7.5909,2568.3103,57.6220
