x,y,ln(x),ln(y),ln(x)ln(y),ln(x)^2
1976.4583,333.97,7.5891,5.8111,44.1004,57.5939
1976.5417,333.08,7.5891,5.8084,44.0804,57.5945
1976.6250,330.68,7.5891,5.8012,44.0258,57.5951
1976.7083,328.96,7.5892,5.7959,43.9865,57.5958
1976.7917,328.72,7.5892,5.7952,43.9812,57.5964
1976.8750,330.16,7.5893,5.7996,44.0146,57.5971
1976.9583,331.62,7.5893,5.8040,44.0483,57.5977
1977.0417,332.68,7.5894,5.8072,44.0728,57.5983
1977.1250,333.17,7.5894,5.8087,44.0842,57.5990
1977.2083,334.96,7.5894,5.8140,44.1251,57.5996
1977.2917,336.14,7.5895,5.8175,44.1520,57.6003
1977.3750,336.93,7.5895,5.8199,44.1701,57.6009
1977.4583,336.17,7.5896,5.8176,44.1532,57.6015
1977.5417,334.89,7.5896,5.8138,44.1245,57.6022
1977.6250,332.56,7.5897,5.8068,44.0717,57.6028
1977.7083,331.29,7.5897,5.8030,44.0429,57.6035
1977.7917,331.28,7.5897,5.8030,44.0430,57.6041
1977.8750,332.46,7.5898,5.8065,44.0702,57.6047
1977.9583,333.60,7.5898,5.8099,44.0964,57.6054
1978.0417,334.94,7.5899,5.8140,44.1271,57.6060
1978.1250,335.26,7.5899,5.8149,44.1346,57.6067
1978.2083,336.66,7.5899,5.8191,44.1665,57.6073
1978.2917,337.69,7.5900,5.8221,44.1899,57.6079
1978.3750,338.02,7.5900,5.8231,44.1975,57.6086
1978.4583,338.01,7.5901,5.8231,44.1976,57.6092
1978.5417,336.50,7.5901,5.8186,44.1638,57.6099
1978.6250,334.42,7.5902,5.8124,44.1170,57.6105
1978.7083,332.36,7.5902,5.8062,44.0704,57.6111
1978.7917,332.45,7.5902,5.8065,44.0727,57.6118
1978.8750,333.76,7.5903,5.8104,44.1028,57.6124
1978.9583,334.91,7.5903,5.8139,44.1291,57.6130
1979.0417,336.14,7.5904,5.8175,44.1572,57.6137
1979.1250,336.69,7.5904,5.8192,44.1698,57.6143
1979.2083,338.27,7.5905,5.8238,44.2056,57.6150
1979.2917,338.82,7.5905,5.8255,44.2182,57.6156
1979.3750,339.24,7.5905,5.8267,44.2278,57.6162
1979.4583,339.26,7.5906,5.8268,44.2285,57.6169
1979.5417,337.54,7.5906,5.8217,44.1902,57.6175
1979.6250,335.72,7.5907,5.8163,44.1494,57.6182
1979.7083,333.97,7.5907,5.8111,44.1100,57.6188
1979.7917,334.24,7.5907,5.8119,44.1164,57.6194
1979.8750,335.32,7.5908,5.8151,44.1411,57.6201
1979.9583,336.81,7.5908,5.8195,44.1750,57.6207
1980.0417,337.90,7.5909,5.8227,44.1998,57.6214
1980.1250,338.34,7.5909,5.8241,44.2099,57.6220
1980.2083,340.07,7.5910,5.8292,44.2488,57.6226
1980.2917,340.93,7.5910,5.8317,44.2683,57.6233
1980.3750,341.45,7.5910,5.8332,44.2801,57.6239
1980.4583,341.36,7.5911,5.8329,44.2783,57.6245
1980.5417,339.45,7.5911,5.8273,44.2360,57.6252
1980.6250,337.67,7.5912,5.8221,44.1963,57.6258
1980.7083,336.25,7.5912,5.8179,44.1646,57.6265
1980.7917,336.14,7.5913,5.8175,44.1623,57.6271
1980.8750,337.30,7.5913,5.8210,44.1887,57.6277
1980.9583,338.29,7.5913,5.8239,44.2112,57.6284
1981.0417,339.29,7.5914,5.8269,44.2339,57.6290
1981.1250,340.55,7.5914,5.8306,44.2622,57.6297
1981.2083,341.63,7.5915,5.8337,44.2865,57.6303
1981.2917,342.60,7.5915,5.8366,44.3083,57.6309
1981.3750,343.04,7.5915,5.8378,44.3183,57.6316
1981.4583,342.54,7.5916,5.8364,44.3075,57.6322
1981.5417,340.82,7.5916,5.8314,44.2695,57.6329
1981.6250,338.48,7.5917,5.8245,44.2174,57.6335
1981.7083,336.95,7.5917,5.8199,44.1833,57.6341
1981.7917,337.05,7.5918,5.8202,44.1858,57.6348
1981.8750,338.58,7.5918,5.8248,44.2204,57.6354
1981.9583,339.91,7.5918,5.8287,44.2504,57.6360
1982.0417,340.93,7.5919,5.8317,44.2734,57.6367
1982.1250,341.76,7.5919,5.8341,44.2921,57.6373
1982.2083,342.78,7.5920,5.8371,44.3150,57.6380
1982.2917,343.96,7.5920,5.8405,44.3413,57.6386
1982.3750,344.77,7.5921,5.8429,44.3594,57.6392
1982.4583,343.88,7.5921,5.8403,44.3400,57.6399
1982.5417,342.42,7.5921,5.8360,44.3080,57.6405
1982.6250,340.24,7.5922,5.8297,44.2597,57.6412
1982.7083,338.37,7.5922,5.8241,44.2181,57.6418
1982.7917,338.41,7.5923,5.8243,44.2193,57.6424
1982.8750,339.44,7.5923,5.8273,44.2426,57.6431
1982.9583,340.78,7.5923,5.8312,44.2728,57.6437
