x,y,ln(y),xln(y),x^2
1979.9583,336.81,5.8195,11522.4049,3920234.8697
1980.0417,337.90,5.8227,11529.2878,3920565.1337
1980.1250,338.34,5.8241,11532.3496,3920895.0156
1980.2083,340.07,5.8292,11542.9341,3921224.9114
1980.2917,340.93,5.8317,11548.4219,3921555.2171
1980.3750,341.45,5.8332,11551.9259,3921885.1406
1980.4583,341.36,5.8329,11551.8898,3922215.0780
1980.5417,339.45,5.8273,11541.2635,3922545.4254
1980.6250,337.67,5.8221,11531.3356,3922875.3906
1980.7083,336.25,5.8179,11523.4735,3923205.3697
1980.7917,336.14,5.8175,11523.3107,3923535.7588
1980.8750,337.30,5.8210,11530.6194,3923865.7656
1980.9583,338.29,5.8239,11536.9100,3924195.7863
1981.0417,339.29,5.8269,11543.2431,3924526.2171
1981.1250,340.55,5.8306,11551.0721,3924856.2656
1981.2083,341.63,5.8337,11557.8309,3925186.3280
1981.2917,342.60,5.8366,11563.9350,3925516.8005
1981.3750,343.04,5.8378,11566.9642,3925846.8906
1981.4583,342.54,5.8364,11564.5603,3926176.9946
1981.5417,340.82,5.8314,11555.0721,3926507.5088
1981.6250,338.48,5.8245,11541.9055,3926837.6406
1981.7083,336.95,5.8199,11533.4126,3927167.7863
1981.7917,337.05,5.8202,11534.4861,3927498.3422
1981.8750,338.58,5.8248,11543.9470,3927828.5156
1981.9583,339.91,5.8287,11552.2024,3928158.7029
1982.0417,340.93,5.8317,11558.6273,3928489.3005
1982.1250,341.76,5.8341,11563.9328,3928819.5156
1982.2083,342.78,5.8371,11570.3260,3929149.7446
1982.2917,343.96,5.8405,11577.6250,3929480.3839
1982.3750,344.77,5.8429,11582.7743,3929810.6406
1982.4583,343.88,5.8403,11578.1369,3930140.9112
1982.5417,342.42,5.8360,11570.1888,3930471.5922
1982.6250,340.24,5.8297,11558.0123,3930801.8906
1982.7083,338.37,5.8241,11547.5707,3931132.2029
1982.7917,338.41,5.8243,11548.2908,3931462.9256
1982.8750,339.44,5.8273,11554.8019,3931793.2656
1982.9583,340.78,5.8312,11563.1000,3932123.6195
1983.0417,341.57,5.8336,11568.1781,3932454.3839
1983.1250,342.79,5.8371,11575.7347,3932784.7656
1983.2083,343.37,5.8388,11579.5736,3933115.1612
1983.2917,345.40,5.8447,11591.7513,3933445.9673
1983.3750,346.14,5.8468,11596.4829,3933776.3906
1983.4583,345.76,5.8457,11594.7912,3934106.8278
1983.5417,344.32,5.8416,11587.0006,3934437.6756
1983.6250,342.51,5.8363,11577.0323,3934768.1406
1983.7083,340.46,5.8303,11565.6098,3935098.6195
1983.7917,340.53,5.8305,11566.5039,3935429.5090
1983.8750,341.79,5.8342,11574.3166,3935760.0156
1983.9583,343.20,5.8383,11582.9703,3936090.5361
1984.0417,344.21,5.8413,11589.2874,3936421.4673
1984.1250,344.92,5.8433,11593.8624,3936752.0156
1984.2083,345.68,5.8455,11598.7164,3937082.5778
1984.2917,347.38,5.8504,11608.9384,3937413.5507
1984.3750,347.77,5.8515,11611.6523,3937744.1406
1984.4583,347.16,5.8498,11608.6559,3938074.7444
1984.5417,345.79,5.8458,11601.2967,3938405.7590
1984.6250,343.74,5.8399,11589.9829,3938736.3906
1984.7083,341.59,5.8336,11578.0165,3939067.0361
1984.7917,341.86,5.8344,11580.0713,3939398.0924
1984.8750,343.31,5.8386,11588.9583,3939728.7656
1984.9583,345.00,5.8435,11599.1920,3940059.4527
1985.0417,345.48,5.8449,11602.4392,3940390.5507
1985.1250,346.41,5.8476,11608.2627,3940721.2656
1985.2083,347.91,5.8519,11617.3275,3941051.9944
1985.2917,348.66,5.8541,11622.0907,3941383.1341
1985.3750,349.28,5.8559,11626.1056,3941713.8906
1985.4583,348.65,5.8541,11623.0090,3942044.6610
1985.5417,346.90,5.8490,11613.5060,3942375.8424
1985.6250,345.26,5.8443,11604.5837,3942706.6406
1985.7083,343.47,5.8391,11594.7489,3943037.4527
1985.7917,343.35,5.8388,11594.5420,3943368.6758
1985.8750,344.73,5.8428,11602.9940,3943699.5156
1985.9583,346.12,5.8468,11611.4723,3944030.3693
1986.0417,346.78,5.8487,11615.7434,3944361.6341
1986.1250,347.48,5.8507,11620.2357,3944692.5156
1986.2083,348.25,5.8529,11625.1195,3945023.4110
1986.2917,349.86,5.8575,11634.7693,3945354.7175
1986.3750,350.52,5.8594,11639.0010,3945685.6406
1986.4583,349.98,5.8579,11636.4264,3946016.5776
1986.5417,348.25,5.8529,11627.0709,3946347.9258
1986.6250,346.17,5.8469,11615.6573,3946678.8906
1986.7083,345.48,5.8449,11612.1804,3947009.8693
1986.7917,344.82,5.8430,11608.8687,3947341.2592
1986.8750,346.22,5.8471,11617.4060,3947672.2656
1986.9583,347.48,5.8507,11625.1111,3948003.2859
1987.0417,348.73,5.8543,11632.7342,3948334.7175
1987.1250,348.92,5.8548,11634.3042,3948665.7656
1987.2083,349.81,5.8574,11639.8543,3948996.8276
1987.2917,351.40,5.8619,11649.3552,3949328.3009
1987.3750,352.15,5.8641,11654.0807,3949659.3906
1987.4583,351.58,5.8624,11651.3496,3949990.4942
1987.5417,350.21,5.8585,11644.0786,3950322.0092
1987.6250,348.20,5.8528,11633.1259,3950653.1406
1987.7083,346.66,5.8483,11624.8028,3950984.2859
1987.7917,346.72,5.8485,11625.6346,3951315.8426
1987.8750,348.08,5.8524,11633.9039,3951647.0156
1987.9583,349.28,5.8559,11641.2331,3951978.2025
1988.0417,350.51,5.8594,11648.7101,3952309.8009
1988.1250,351.70,5.8628,11655.9366,3952641.0156
1988.2083,352.50,5.8651,11660.9423,3952972.2442
1988.2917,353.67,5.8684,11668.0200,3953303.8843
1988.3750,354.35,5.8703,11672.3282,3953635.1406
1988.4583,353.88,5.8690,11670.1780,3953966.4108
1988.5417,352.80,5.8659,11664.5894,3954298.0926
1988.6250,350.49,5.8593,11652.0144,3954629.3906
1988.7083,348.97,5.8550,11643.8592,3954960.7025
1988.7917,349.37,5.8561,11646.6258,3955292.4260
1988.8750,350.42,5.8591,11653.0820,3955623.7656
1988.9583,351.62,5.8626,11660.3696,3955955.1191
1989.0417,353.07,5.8667,11669.0440,3956286.8843
1989.1250,353.43,5.8677,11671.5598,3956618.2656
1989.2083,354.08,5.8695,11675.7036,3956949.6608
1989.2917,355.72,5.8741,11685.3857,3957281.4677
1989.3750,355.95,5.8748,11687.1609,3957612.8906
1989.4583,355.44,5.8734,11684.7978,3957944.3274
1989.5417,354.05,5.8694,11677.4919,3958276.1760
1989.6250,351.84,5.8632,11665.5226,3958607.6406
1989.7083,350.09,5.8582,11656.0898,3958939.1191
1989.7917,350.33,5.8589,11657.9420,3959271.0094
1989.8750,351.55,5.8624,11665.3476,3959602.5156
1989.9583,352.91,5.8662,11673.5194,3959934.0357
1990.0417,353.86,5.8689,11679.3584,3960265.9677
1990.1250,355.10,5.8724,11686.8089,3960597.5156
1990.2083,355.75,5.8742,11690.9378,3960929.0774
1990.2917,356.38,5.8760,11694.9492,3961261.0511
1990.3750,357.38,5.8788,11701.0158,3961592.6406
1990.4583,356.39,5.8760,11695.9840,3961924.2440
1990.5417,354.89,5.8718,11688.0784,3962256.2594
1990.6250,353.06,5.8666,11678.2763,3962587.8906
1990.7083,351.38,5.8619,11669.2698,3962919.5357
1990.7917,351.69,5.8628,11671.5142,3963251.5928
1990.8750,353.14,5.8669,11680.1940,3963583.2656
1990.9583,354.41,5.8705,11687.8300,3963914.9523
1991.0417,354.93,5.8719,11691.2387,3964247.0511
1991.1250,355.82,5.8744,11696.7144,3964578.7656
1991.2083,357.33,5.8787,11705.6360,3964910.4940
1991.2917,358.77,5.8827,11714.1349,3965242.6345
