x,y,xy,x^2
1975.2083,331.94,655650.6431,3901447.8284
1975.2917,333.11,657989.4182,3901777.3001
1975.3750,333.95,659676.4812,3902106.3906
1975.4583,333.42,658657.3064,3902435.4950
1975.5417,331.97,655820.5781,3902765.0084
1975.6250,329.95,651857.4688,3903094.1406
1975.7083,328.49,649000.4195,3903423.2867
1975.7917,328.36,648770.9626,3903752.8418
1975.8750,329.38,650813.7075,3904082.0156
1975.9583,330.77,653587.7269,3904411.2033
1976.0417,331.56,655176.3861,3904740.8001
1976.1250,332.74,657535.8325,3905070.0156
1976.2083,333.36,658788.7989,3905399.2450
1976.2917,334.74,661543.8837,3905728.8835
1976.3750,334.72,661532.2400,3906058.1406
1976.4583,333.97,660077.7785,3906387.4116
1976.5417,333.08,658346.5094,3906717.0918
1976.6250,330.68,653630.3550,3907046.3906
1976.7083,328.96,650257.9624,3907375.7033
1976.7917,328.72,649810.9676,3907705.4252
1976.8750,330.16,652685.0500,3908034.7656
1976.9583,331.62,655598.9114,3908364.1199
1977.0417,332.68,657722.2328,3908693.8835
1977.1250,333.17,658718.7363,3909023.2656
1977.2083,334.96,662285.6922,3909352.6616
1977.2917,336.14,664646.8320,3909682.4669
1977.3750,336.93,666236.9587,3910011.8906
1977.4583,336.17,664762.1567,3910341.3282
1977.5417,334.89,662258.9399,3910671.1752
1977.6250,332.56,657678.9700,3911000.6406
1977.7083,331.29,655194.9827,3911330.1199
1977.7917,331.28,655202.8344,3911660.0086
1977.8750,332.46,657564.3225,3911989.5156
1977.9583,333.60,659846.8889,3912319.0365
1978.0417,334.94,662525.2870,3912648.9669
1978.1250,335.26,663186.1875,3912978.5156
1978.2083,336.66,665983.6063,3913308.0782
1978.2917,337.69,668049.3242,3913638.0503
1978.3750,338.02,668730.3175,3913967.6406
1978.4583,338.01,668738.6900,3914297.2448
1978.5417,336.50,665779.2821,3914627.2586
1978.6250,334.42,661691.7725,3914956.8906
1978.7083,332.36,657643.4906,3915286.5365
1978.7917,332.45,657849.3007,3915616.5920
1978.8750,333.76,660469.3200,3915946.2656
1978.9583,334.91,662772.9243,3916275.9531
1979.0417,336.14,665235.0770,3916606.0503
1979.1250,336.69,666351.5962,3916935.7656
1979.2083,338.27,669506.7916,3917265.4948
1979.2917,338.82,670623.6138,3917595.6337
1979.3750,339.24,671483.1750,3917925.3906
1979.4583,339.26,671551.0229,3918255.1614
1979.5417,337.54,668174.5054,3918585.3420
1979.6250,335.72,664599.7050,3918915.1406
1979.7083,333.97,661163.1810,3919244.9531
1979.7917,334.24,661725.5778,3919575.1754
1979.8750,335.32,663891.6850,3919905.0156
1979.9583,336.81,666869.7550,3920234.8697
1980.0417,337.90,669056.0904,3920565.1337
1980.1250,338.34,669955.4925,3920895.0156
1980.2083,340.07,673409.4366,3921224.9114
1980.2917,340.93,675140.8493,3921555.2171
1980.3750,341.45,676199.0437,3921885.1406
1980.4583,341.36,676049.2453,3922215.0780
1980.5417,339.45,672294.8801,3922545.4254
1980.6250,337.67,668797.6438,3922875.3906
1980.7083,336.25,666013.1659,3923205.3697
1980.7917,336.14,665823.3220,3923535.7588
1980.8750,337.30,668149.1375,3923865.7656
1980.9583,338.29,670138.3833,3924195.7863
1981.0417,339.29,672147.6384,3924526.2171
1981.1250,340.55,674672.1188,3924856.2656
1981.2083,341.63,676840.1915,3925186.3280
1981.2917,342.60,678790.5364,3925516.8005
1981.3750,343.04,679690.8800,3925846.8906
1981.4583,342.54,678728.7261,3926176.9946
1981.5417,340.82,675349.0422,3926507.5088
1981.6250,338.48,670740.4300,3926837.6406
1981.7083,336.95,667736.6117,3927167.7863
1981.7917,337.05,667962.8925,3927498.3422
1981.8750,338.58,671023.2375,3927828.5156
1981.9583,339.91,673687.4458,3928158.7029
1982.0417,340.93,675737.4768,3928489.3005
1982.1250,341.76,677411.0400,3928819.5156
1982.2083,342.78,679461.3611,3929149.7446
1982.2917,343.96,681829.0531,3929480.3839
1982.3750,344.77,683463.4287,3929810.6406
1982.4583,343.88,681727.7602,3930140.9112
1982.5417,342.42,678861.9289,3930471.5922
1982.6250,340.24,674568.3300,3930801.8906
1982.7083,338.37,670889.0075,3931132.2029
1982.7917,338.41,670996.5392,3931462.9256
1982.8750,339.44,673067.0900,3931793.2656
1982.9583,340.78,675752.5295,3932123.6195
1983.0417,341.57,677347.5535,3932454.3839
1983.1250,342.79,679795.4188,3932784.7656
1983.2083,343.37,680974.2340,3933115.1612
1983.2917,345.40,685028.9532,3933445.9673
1983.3750,346.14,686525.4225,3933776.3906
1983.4583,345.76,685800.5418,3934106.8278
1983.5417,344.32,682973.0781,3934437.6756
1983.6250,342.51,679411.3987,3934768.1406
1983.7083,340.46,675373.3278,3935098.6195
1983.7917,340.53,675540.5876,3935429.5090
1983.8750,341.79,678068.6363,3935760.0156
1983.9583,343.20,680894.4886,3936090.5361
1984.0417,344.21,682926.9936,3936421.4673
1984.1250,344.92,684364.3950,3936752.0156
1984.2083,345.68,685901.1251,3937082.5778
1984.2917,347.38,689303.2507,3937413.5507
1984.3750,347.77,690106.0938,3937744.1406
1984.4583,347.16,688924.5434,3938074.7444
1984.5417,345.79,686234.6744,3938405.7590
1984.6250,343.74,682194.9975,3938736.3906
1984.7083,341.59,677956.5082,3939067.0361
1984.7917,341.86,678520.8906,3939398.0924
1984.8750,343.31,681427.4363,3939728.7656
1984.9583,345.00,684810.6135,3940059.4527
1985.0417,345.48,685792.2065,3940390.5507
1985.1250,346.41,687667.1512,3940721.2656
1985.2083,347.91,690673.8197,3941051.9944
1985.2917,348.66,692191.8041,3941383.1341
1985.3750,349.28,693451.7800,3941713.8906
1985.4583,348.65,692230.0363,3942044.6610
1985.5417,346.90,688784.4157,3942375.8424
1985.6250,345.26,685556.8875,3942706.6406
1985.7083,343.47,682031.2298,3943037.4527
1985.7917,343.35,681821.5802,3943368.6758
1985.8750,344.73,684590.6888,3943699.5156
1985.9583,346.12,687379.8868,3944030.3693
1986.0417,346.78,688719.5407,3944361.6341
1986.1250,347.48,690138.7150,3944692.5156
1986.2083,348.25,691697.0405,3945023.4110
1986.2917,349.86,694924.0142,3945354.7175
1986.3750,350.52,696264.1650,3945685.6406
1986.4583,349.98,695220.6758,3946016.5776
1986.5417,348.25,691813.1470,3946347.9258
1986.6250,346.17,687709.9763,3946678.8906
1986.7083,345.48,686367.9835,3947009.8693
1986.7917,344.82,685085.5140,3947341.2592
1986.8750,346.22,687895.8625,3947672.2656
1986.9583,347.48,690428.2701,3948003.2859
1987.0417,348.73,692941.0520,3948334.7175
1987.1250,348.92,693347.6550,3948665.7656
1987.2083,349.81,695145.3354,3948996.8276
1987.2917,351.40,698334.3034,3949328.3009
