x,y,xy,x^4,x^3,x^2,x^2y
1963.6219,317.77,623980.1312,14867278206756.7090,7571354855.4112,3855810.9662,1225261050.7165394
1963.7068,316.21,620943.7272,14869849605626.7520,7572336972.9263,3856144.3964,1219351419.5749686
1963.7890,315.99,620537.6861,14872339546359.9180,7573287937.9403,3856467.2365,1218605082.068271
1963.8740,317.07,622685.5292,14874914631441.4980,7574271379.6514,3856801.0879,1222875920.9328432
1963.9562,318.35,625225.4563,14877405208234.2188,7575222506.6090,3857123.9555,1227915411.2392955
1964.0410,319.57,627648.5824,14879974890133.6426,7576203801.3125,3857457.0497,1232727549.3665571
1964.1257,320.04,628598.7890,14882541874028.7695,7577184023.4201,3857789.7654,1234647036.518773
1964.2049,320.75,630018.7217,14884942471122.4473,7578100671.2296,3858100.8892,1237485860.2057712
1964.2896,321.84,632186.9649,14887510097704.8145,7579081056.9403,3858433.6327,1241798280.3379207
1964.3716,322.25,633018.7481,14889996191960.4668,7580030271.2381,3858755.7829,1243484051.035194
1964.4563,321.89,632338.8384,14892564472319.5078,7581010823.3609,3859088.5546,1242202014.8433132
1964.5383,320.44,629516.6529,14895051199564.9688,7581960198.7729,3859410.7322,1236709575.015558
1964.6230,318.69,626105.7039,14897620133811.6504,7582940917.3219,3859743.5321,1230061666.2541912
1964.7077,316.71,622242.5757,14900189400340.0957,7583921720.4371,3860076.3464,1222524779.6807873
1964.7896,316.87,622582.8806,14902674048451.3516,7584870180.7315,3860398.1723,1223244368.846612
1964.8743,317.68,624201.2676,14905243968642.4199,7585851150.1944,3860731.0148,1226477028.7818196
1964.9563,318.71,626251.2224,14907732283581.3516,7586800929.6600,3861053.2609,1230556284.7845273
1965.0411,319.44,627712.7290,14910305893051.4121,7587783224.0005,3861386.5247,1233481311.446721
1965.1260,320.44,629704.9754,14912882871236.5703,7588766761.6410,3861720.1959,1237449619.5665054
1965.2027,320.89,630613.8944,14915211241191.0430,7589655378.1404,3862021.6521,1239284127.9382906
1965.2877,322.14,633097.7797,14917791891443.0781,7590640236.2581,3862355.7438,1244219279.2984834
